nivel,p3_1,p4,edad,p32,p34_4,p34_4_1,factor
7,1,3,44,0,1,1,14438
7,1,4,61,0,1,5,36096
7,1,20,66,0,1,1,7219
7,1,1,41,0,2,0,18503
7,1,2,34,0,1,1,18503
2,2,0,58,5,1,1,9252
7,2,0,23,0,1,1,27755
4,2,0,45,3,1,5,42854
7,1,2,62,0,1,1,21427
7,1,3,39,0,1,3,10713
2,2,0,47,0,1,1,19403
3,1,3,29,0,1,1,29104
3,2,0,44,1,2,0,19403
2,1,1,62,0,2,0,9701
6,1,1,29,0,2,0,18467
3,2,0,44,0,2,0,27701
3,1,2,20,0,1,1,27701
3,1,2,33,0,1,1,27701
2,2,0,72,3,2,0,33380
0,0,0,76,0,0,0,41725
7,1,2,20,0,1,1,33380
0,0,0,77,0,0,0,25035
7,2,0,38,0,1,1,35166
4,2,0,24,0,1,1,35166
7,1,3,27,0,1,2,17583
3,2,0,39,3,1,1,35166
2,2,0,54,2,2,0,25989
2,2,0,79,5,1,1,6497
4,2,0,19,0,1,2,25989
2,2,0,58,0,3,0,16303
3,0,0,50,0,0,0,24454
6,2,0,48,1,3,0,24454
4,2,0,33,3,2,0,16303
7,1,4,36,0,1,2,8834
4,2,0,30,3,2,0,35338
7,2,0,38,0,1,1,8834
4,2,0,55,3,1,2,17669
6,2,0,50,2,2,0,81815
6,2,0,74,5,2,0,61360
7,1,2,65,0,1,2,40907
7,2,0,63,0,1,3,40907
7,2,0,59,0,1,2,43127
7,2,0,65,5,1,1,43127
8,1,10,28,0,1,5,10781
8,1,2,49,0,1,2,32345
4,2,0,39,0,2,0,14339
7,2,0,63,5,1,1,7170
7,1,1,32,0,1,2,14339
2,0,0,44,0,0,0,21990
3,2,0,44,1,2,0,21990
3,1,3,36,0,2,0,21990
7,2,0,46,0,1,1,21990
7,1,2,63,0,1,2,10584
7,2,0,38,1,1,3,10584
7,1,5,28,0,1,2,10584
3,2,0,55,2,2,0,9273
2,2,0,59,5,2,0,9273
3,2,0,50,2,3,0,9273
3,2,0,51,0,2,0,18548
7,1,5,21,0,1,2,24242
3,2,0,52,1,2,0,8081
4,2,0,41,1,2,0,16161
3,1,1,60,0,1,2,8081
4,1,1,24,0,1,1,27263
3,2,0,32,2,2,0,18175
3,2,0,75,5,1,2,18175
4,2,0,47,1,3,0,9088
3,2,0,44,2,2,0,18433
3,2,0,58,4,3,0,9216
4,2,0,28,1,2,0,18433
2,2,0,66,5,1,1,9216
6,2,0,54,1,2,0,80183
7,1,4,39,0,1,2,32074
4,1,5,21,0,1,1,32074
4,1,5,18,0,1,1,22998
3,1,2,37,0,2,0,7666
4,1,2,35,0,2,0,22998
3,2,0,35,0,1,1,15332
8,1,3,47,0,2,0,24238
4,2,0,30,0,1,1,32317
4,2,0,21,0,1,1,8079
4,2,0,30,3,1,1,16158
2,1,2,69,0,2,0,16939
3,2,0,53,6,2,0,5646
2,2,0,74,1,2,0,11293
4,1,3,53,0,1,1,22586
2,1,1,79,0,1,1,11122
4,1,3,19,0,1,1,22244
2,2,0,63,3,2,0,22244
4,1,5,18,0,1,1,33366
7,1,1,42,0,2,0,7776
3,1,3,33,0,2,0,7776
3,2,0,47,0,1,2,23330
4,1,1,55,0,2,0,23330
2,0,0,64,0,0,0,30622
8,1,6,25,0,1,1,51037
7,1,1,36,0,2,0,20415
4,1,2,24,0,1,2,20415
7,2,0,38,0,1,2,14313
6,1,1,62,0,2,0,14313
5,1,1,65,0,1,1,14313
7,1,5,34,0,1,5,21469
7,2,0,34,0,1,3,18849
4,1,3,26,0,1,2,9425
6,2,0,40,0,1,1,18849
7,2,0,56,0,1,3,28274
2,1,1,64,0,2,0,19745
7,1,10,43,0,1,1,6582
0,0,0,65,0,0,0,46074
6,2,0,58,1,2,0,6582
4,2,0,34,0,2,0,27948
6,2,0,76,0,1,1,6987
7,1,1,39,0,2,0,13973
2,1,3,53,0,2,0,28808
2,0,0,75,0,0,0,9603
7,1,1,21,0,1,5,21145
8,2,0,24,2,1,3,31717
8,1,3,55,0,1,1,21145
7,1,3,23,0,1,1,21766
2,2,0,53,4,2,0,10883
3,2,0,22,1,1,1,21766
3,1,1,35,0,2,0,16481
3,2,0,64,5,2,0,8240
4,1,1,52,0,1,2,32961
