,nivel,p31,p4,p34_4,p34_4_1,p3_1
1798,3.0,1.0,1.0,1.0,1.0,1.0
1799,7.0,1.0,3.0,1.0,1.0,1.0
1805,7.0,2.0,1.0,1.0,1.0,1.0
1806,4.0,2.0,1.0,1.0,1.0,1.0
1807,7.0,1.0,1.0,1.0,1.0,1.0
1814,6.0,2.0,2.0,1.0,2.0,1.0
1817,7.0,2.0,2.0,1.0,1.0,1.0
1825,7.0,1.0,1.0,1.0,1.0,1.0
1837,4.0,1.0,2.0,1.0,2.0,1.0
1843,2.0,1.0,1.0,1.0,1.0,1.0
1848,7.0,1.0,8.0,1.0,1.0,1.0
1854,3.0,1.0,3.0,1.0,2.0,1.0
1858,4.0,1.0,6.0,1.0,1.0,1.0
1868,5.0,1.0,3.0,1.0,4.0,1.0
1869,4.0,2.0,1.0,1.0,1.0,1.0
1870,4.0,1.0,2.0,1.0,1.0,1.0
1886,6.0,1.0,3.0,1.0,1.0,1.0
1888,7.0,2.0,3.0,1.0,1.0,1.0
1899,4.0,2.0,2.0,1.0,3.0,1.0
1900,7.0,1.0,3.0,1.0,4.0,1.0
1902,4.0,2.0,1.0,1.0,2.0,1.0
1904,2.0,2.0,3.0,1.0,3.0,1.0
1906,7.0,2.0,2.0,1.0,3.0,1.0
1907,6.0,2.0,3.0,1.0,3.0,1.0
1911,4.0,2.0,2.0,1.0,2.0,1.0
1912,4.0,2.0,1.0,1.0,1.0,1.0
1917,7.0,1.0,4.0,1.0,4.0,1.0
1918,7.0,2.0,3.0,1.0,4.0,1.0
1923,4.0,1.0,4.0,1.0,3.0,1.0
1926,7.0,2.0,2.0,1.0,3.0,1.0
1928,4.0,2.0,12.0,1.0,4.0,1.0
1929,7.0,1.0,3.0,1.0,2.0,1.0
1930,7.0,2.0,4.0,1.0,2.0,1.0
1931,3.0,1.0,5.0,1.0,1.0,1.0
1935,3.0,2.0,2.0,1.0,3.0,1.0
1936,7.0,2.0,2.0,1.0,2.0,1.0
1938,2.0,1.0,4.0,1.0,3.0,1.0
1945,8.0,1.0,2.0,1.0,5.0,1.0
1946,6.0,2.0,2.0,1.0,2.0,1.0
1948,3.0,2.0,1.0,1.0,1.0,1.0
1949,6.0,2.0,1.0,1.0,6.0,1.0
1950,8.0,2.0,2.0,1.0,2.0,1.0
1969,7.0,2.0,2.0,1.0,1.0,1.0
1983,8.0,1.0,2.0,1.0,3.0,1.0
1984,7.0,1.0,3.0,1.0,2.0,1.0
1988,7.0,2.0,1.0,1.0,2.0,1.0
1989,8.0,2.0,5.0,1.0,1.0,1.0
1992,3.0,1.0,3.0,1.0,1.0,1.0
1997,7.0,1.0,2.0,1.0,3.0,1.0
1998,4.0,2.0,1.0,1.0,1.0,1.0
1999,7.0,1.0,50.0,1.0,1.0,1.0
2000,6.0,2.0,2.0,1.0,1.0,1.0
2002,3.0,1.0,3.0,1.0,2.0,1.0
2007,6.0,1.0,1.0,1.0,1.0,1.0
2009,7.0,1.0,2.0,1.0,4.0,1.0
2011,7.0,2.0,1.0,1.0,2.0,1.0
2013,7.0,1.0,4.0,1.0,3.0,1.0
2014,7.0,2.0,1.0,1.0,3.0,1.0
