,nivel,p31,p4,p34_4,p34_4_1,p3_1
437,4.0,2.0,2.0,1.0,2.0,1.0
439,8.0,2.0,1.0,1.0,3.0,1.0
452,6.0,2.0,5.0,1.0,3.0,1.0
454,7.0,1.0,4.0,1.0,3.0,1.0
456,3.0,1.0,1.0,1.0,1.0,1.0
457,6.0,1.0,2.0,1.0,2.0,1.0
459,7.0,1.0,1.0,1.0,2.0,1.0
471,7.0,1.0,12.0,1.0,1.0,1.0
476,4.0,2.0,1.0,1.0,2.0,1.0
479,4.0,1.0,1.0,1.0,2.0,1.0
480,7.0,1.0,1.0,1.0,2.0,1.0
487,4.0,2.0,1.0,1.0,3.0,1.0
492,4.0,1.0,3.0,1.0,1.0,1.0
493,7.0,1.0,2.0,1.0,4.0,1.0
497,4.0,2.0,1.0,1.0,3.0,1.0
499,8.0,2.0,1.0,1.0,4.0,1.0
500,3.0,2.0,3.0,1.0,4.0,1.0
501,6.0,2.0,3.0,1.0,1.0,1.0
502,7.0,2.0,7.0,1.0,4.0,1.0
503,7.0,1.0,2.0,1.0,5.0,1.0
505,7.0,2.0,1.0,1.0,5.0,1.0
510,7.0,1.0,1.0,1.0,1.0,1.0
511,4.0,1.0,1.0,1.0,3.0,1.0
518,7.0,2.0,3.0,1.0,5.0,1.0
529,7.0,1.0,7.0,1.0,3.0,1.0
550,7.0,1.0,4.0,1.0,5.0,1.0
551,4.0,1.0,4.0,1.0,2.0,1.0
570,7.0,2.0,3.0,1.0,3.0,1.0
588,7.0,1.0,2.0,1.0,2.0,1.0
591,8.0,1.0,2.0,1.0,3.0,1.0
593,7.0,1.0,2.0,1.0,1.0,1.0
601,7.0,1.0,1.0,1.0,1.0,1.0
605,8.0,1.0,5.0,1.0,2.0,1.0
610,7.0,2.0,3.0,1.0,2.0,1.0
613,7.0,2.0,1.0,1.0,3.0,1.0
616,7.0,2.0,4.0,1.0,2.0,1.0
619,4.0,2.0,1.0,1.0,1.0,1.0
627,7.0,2.0,5.0,1.0,2.0,1.0
630,4.0,1.0,1.0,1.0,2.0,1.0
637,7.0,1.0,2.0,1.0,5.0,1.0
638,2.0,1.0,3.0,1.0,2.0,1.0
641,7.0,2.0,10.0,1.0,1.0,1.0
647,4.0,2.0,1.0,1.0,2.0,1.0
648,7.0,2.0,2.0,1.0,2.0,1.0
654,8.0,1.0,6.0,1.0,3.0,1.0
655,7.0,2.0,10.0,1.0,3.0,1.0
658,3.0,2.0,1.0,1.0,1.0,1.0
663,4.0,2.0,3.0,1.0,2.0,1.0
664,7.0,1.0,7.0,1.0,4.0,1.0
666,7.0,2.0,3.0,1.0,3.0,1.0
668,7.0,1.0,6.0,1.0,1.0,1.0
680,7.0,1.0,2.0,1.0,1.0,1.0
692,7.0,1.0,6.0,1.0,2.0,1.0
719,7.0,2.0,3.0,1.0,1.0,1.0
720,6.0,1.0,1.0,1.0,1.0,1.0
721,8.0,2.0,1.0,1.0,5.0,1.0
722,8.0,1.0,40.0,1.0,5.0,1.0
724,5.0,2.0,1.0,1.0,5.0,1.0
726,7.0,1.0,3.0,1.0,5.0,1.0
727,8.0,1.0,8.0,1.0,5.0,1.0
735,7.0,1.0,1.0,1.0,1.0,1.0
738,8.0,2.0,3.0,1.0,1.0,1.0
739,9.0,1.0,3.0,1.0,2.0,1.0
740,7.0,2.0,1.0,1.0,1.0,1.0
741,7.0,1.0,2.0,1.0,2.0,1.0
742,7.0,1.0,2.0,1.0,5.0,1.0
743,6.0,2.0,1.0,1.0,6.0,1.0
745,8.0,1.0,3.0,1.0,1.0,1.0
754,7.0,1.0,8.0,1.0,6.0,1.0
760,7.0,1.0,8.0,1.0,2.0,1.0
761,4.0,2.0,3.0,1.0,2.0,1.0
763,7.0,2.0,2.0,1.0,1.0,1.0
764,4.0,2.0,2.0,1.0,1.0,1.0
767,3.0,1.0,2.0,1.0,1.0,1.0
774,6.0,1.0,2.0,1.0,1.0,1.0
776,7.0,2.0,3.0,1.0,2.0,1.0
778,4.0,1.0,20.0,1.0,2.0,1.0
779,7.0,2.0,1.0,1.0,1.0,1.0
780,3.0,2.0,2.0,1.0,2.0,1.0
788,3.0,1.0,2.0,1.0,1.0,1.0
789,3.0,1.0,3.0,1.0,1.0,1.0
791,2.0,2.0,2.0,1.0,1.0,1.0
803,2.0,2.0,1.0,1.0,1.0,1.0
806,9.0,1.0,3.0,1.0,3.0,1.0
807,7.0,1.0,2.0,1.0,2.0,1.0
809,7.0,2.0,2.0,1.0,2.0,1.0
810,7.0,2.0,1.0,1.0,1.0,1.0
811,2.0,2.0,1.0,1.0,1.0,1.0
812,4.0,1.0,6.0,1.0,4.0,1.0
818,7.0,1.0,1.0,1.0,1.0,1.0
819,7.0,1.0,1.0,1.0,2.0,1.0
820,4.0,2.0,2.0,1.0,1.0,1.0
821,7.0,2.0,1.0,1.0,1.0,1.0
827,4.0,2.0,2.0,1.0,2.0,1.0
829,4.0,2.0,2.0,1.0,1.0,1.0
831,6.0,2.0,2.0,1.0,2.0,1.0
836,3.0,2.0,2.0,1.0,2.0,1.0
837,4.0,1.0,1.0,1.0,1.0,1.0
838,8.0,2.0,2.0,1.0,1.0,1.0
842,4.0,2.0,2.0,1.0,3.0,1.0
844,4.0,2.0,3.0,1.0,1.0,1.0
847,7.0,2.0,3.0,1.0,2.0,1.0
